pm10,pm25,so2,co,o3,no2,categori
63,95,31,10,29,20,SEDANG
64,96,32,9,31,14,SEDANG
61,96,34,8,29,15,SEDANG
63,100,31,8,44,12,SEDANG
67,111,32,10,36,13,TIDAK SEHAT
83,126,35,16,32,29,TIDAK SEHAT
60,92,30,7,32,14,SEDANG
63,88,29,15,24,38,SEDANG
60,83,29,11,30,28,SEDANG
60,82,27,11,37,30,SEDANG
58,77,26,10,31,28,SEDANG
63,85,27,11,28,28,SEDANG
68,92,31,11,26,24,SEDANG
52,65,28,9,19,24,SEDANG
53,76,25,16,23,34,SEDANG
45,62,25,12,27,31,SEDANG
51,66,27,10,25,32,SEDANG
66,93,32,12,34,41,SEDANG
61,80,26,10,28,27,SEDANG
51,64,29,8,23,21,SEDANG
31,42,24,8,20,19,BAIK
54,81,29,20,20,45,SEDANG
48,65,29,9,23,24,SEDANG
42,66,29,7,26,20,SEDANG
50,73,29,8,23,22,SEDANG
53,78,26,8,33,19,SEDANG
51,69,27,10,25,34,SEDANG
55,81,28,11,29,36,SEDANG
57,80,29,11,24,32,SEDANG
54,80,29,8,27,22,SEDANG
57,74,34,8,20,26,SEDANG
49,67,31,7,24,20,SEDANG
52,72,28,6,28,19,SEDANG
51,72,27,12,22,33,SEDANG
45,63,25,9,24,28,SEDANG
54,76,26,12,29,38,SEDANG
63,94,27,13,38,37,SEDANG
79,102,55,14,30,29,TIDAK SEHAT
66,89,52,10,39,19,SEDANG
66,87,51,9,39,18,SEDANG
62,79,50,9,37,18,SEDANG
74,100,52,12,35,22,SEDANG
66,87,51,10,34,13,SEDANG
58,72,51,9,27,16,SEDANG
64,87,52,13,27,31,SEDANG
68,88,54,12,35,29,SEDANG
58,77,53,9,32,20,SEDANG
70,99,53,11,46,22,SEDANG
66,82,51,9,36,12,SEDANG
56,71,52,9,27,14,SEDANG
36,47,50,8,47,15,BAIK
69,95,54,17,45,35,SEDANG
52,66,52,8,52,15,SEDANG
46,66,51,7,53,9,SEDANG
56,79,53,8,51,15,SEDANG
52,73,50,8,68,10,SEDANG
58,81,52,11,54,25,SEDANG
61,85,52,10,58,19,SEDANG
64,82,54,10,48,22,SEDANG
61,85,53,8,53,13,SEDANG
57,76,53,8,47,13,SEDANG
55,81,52,8,50,13,SEDANG
56,74,---,7,54,6,SEDANG
53,77,---,11,47,17,SEDANG
49,71,---,8,49,13,SEDANG
54,81,57,10,63,16,SEDANG
71,105,63,12,63,24,TIDAK SEHAT
57,83,46,13,32,14,SEDANG
65,99,46,15,29,16,SEDANG
56,86,45,9,39,13,SEDANG
53,77,45,9,30,13,SEDANG
61,93,46,11,36,14,SEDANG
73,108,48,13,29,15,TIDAK SEHAT
60,84,48,11,26,15,SEDANG
60,82,48,12,29,15,SEDANG
48,61,46,9,31,12,SEDANG
49,71,49,9,36,15,SEDANG
61,89,50,10,43,16,SEDANG
55,78,47,9,30,13,SEDANG
51,65,47,8,26,11,SEDANG
32,51,46,7,21,11,SEDANG
53,81,50,17,24,22,SEDANG
51,72,50,10,27,15,SEDANG
47,72,49,7,29,13,SEDANG
55,80,50,9,27,15,SEDANG
56,81,48,10,31,12,SEDANG
45,59,49,7,33,10,SEDANG
54,78,50,9,35,15,SEDANG
57,78,49,14,26,18,SEDANG
57,82,51,10,29,16,SEDANG
55,77,52,8,27,15,SEDANG
54,75,50,11,22,16,SEDANG
54,74,50,10,27,13,SEDANG
48,71,49,12,26,16,SEDANG
46,---,49,10,32,13,BAIK
61,26,49,13,31,22,SEDANG
67,27,49,16,40,19,SEDANG
68,118,40,16,26,27,TIDAK SEHAT
65,115,39,12,26,25,TIDAK SEHAT
62,111,42,10,34,23,TIDAK SEHAT
57,93,42,9,31,19,SEDANG
69,120,43,12,27,26,TIDAK SEHAT
62,109,42,9,29,16,TIDAK SEHAT
56,86,42,8,21,21,SEDANG
63,106,40,15,29,25,TIDAK SEHAT
52,82,41,12,27,24,SEDANG
45,80,42,8,26,19,SEDANG
59,109,43,10,33,30,TIDAK SEHAT
63,111,41,10,24,19,TIDAK SEHAT
54,88,42,7,18,16,SEDANG
36,61,41,6,19,15,SEDANG
60,110,42,19,18,23,TIDAK SEHAT
53,89,42,7,28,15,SEDANG
50,85,42,6,29,14,SEDANG
57,101,43,7,23,15,TIDAK SEHAT
---,99,44,9,32,20,SEDANG
---,119,44,10,22,21,TIDAK SEHAT
---,116,43,9,24,18,TIDAK SEHAT
---,109,46,8,21,18,TIDAK SEHAT
---,102,45,7,26,16,TIDAK SEHAT
---,98,45,7,33,12,SEDANG
---,89,42,11,29,19,SEDANG
---,69,41,6,38,15,SEDANG
---,102,45,13,38,24,TIDAK SEHAT
---,117,45,13,40,27,TIDAK SEHAT
64,95,30,12,28,26,SEDANG
62,101,28,9,25,18,TIDAK SEHAT
56,92,7,6,45,9,SEDANG
58,84,---,6,37,11,SEDANG
57,89,---,7,36,11,SEDANG
65,95,---,8,27,13,SEDANG
56,77,---,6,19,17,SEDANG
51,78,---,8,28,15,SEDANG
47,69,---,8,32,15,SEDANG
46,73,---,6,39,13,SEDANG
60,98,---,8,45,16,SEDANG
58,84,---,7,29,12,SEDANG
51,70,---,6,20,10,SEDANG
26,37,---,3,17,8,BAIK
53,79,---,14,22,26,SEDANG
38,59,---,4,23,14,SEDANG
35,60,---,3,25,12,SEDANG
46,69,---,5,27,12,SEDANG
53,83,---,7,28,10,SEDANG
45,65,---,5,30,10,SEDANG
47,77,---,6,34,13,SEDANG
53,78,---,7,25,16,SEDANG
53,77,---,6,27,14,SEDANG
51,73,---,6,20,17,SEDANG
45,64,---,4,24,12,SEDANG
48,67,---,4,30,9,SEDANG
51,78,---,9,22,18,SEDANG
42,64,---,5,26,14,SEDANG
56,87,---,11,34,19,SEDANG
68,108,---,10,46,13,TIDAK SEHAT
57,81,30,11,32,38,SEDANG
67,99,32,11,30,35,SEDANG
70,85,29,10,28,28,SEDANG
58,82,30,11,34,29,SEDANG
55,76,29,11,30,33,SEDANG
60,83,38,10,26,35,SEDANG
45,62,29,9,21,28,SEDANG
54,77,33,11,24,35,SEDANG
52,69,27,9,32,29,SEDANG
58,83,26,9,38,26,SEDANG
59,80,29,10,35,30,SEDANG
56,76,37,9,23,35,SEDANG
52,67,28,8,25,31,SEDANG
64,90,33,11,35,35,SEDANG
75,106,29,12,34,37,TIDAK SEHAT
66,95,28,15,32,44,SEDANG
65,93,34,11,36,30,SEDANG
44,55,25,9,19,26,SEDANG
41,58,29,14,15,30,SEDANG
33,53,29,10,21,27,SEDANG
45,65,25,9,28,32,SEDANG
64,95,31,18,19,48,SEDANG
57,83,29,10,20,36,SEDANG
58,85,27,11,28,36,SEDANG
62,95,27,14,33,37,SEDANG
55,78,29,14,23,43,SEDANG
55,76,29,15,22,39,SEDANG
51,69,28,16,22,39,SEDANG
50,64,31,19,18,35,SEDANG
48,68,31,12,25,40,SEDANG
53,70,27,11,32,32,SEDANG
57,84,59,10,65,16,SEDANG
70,103,61,10,58,17,TIDAK SEHAT
64,86,62,11,53,18,SEDANG
62,95,60,11,64,24,SEDANG
65,90,67,11,54,27,SEDANG
65,91,66,9,58,23,SEDANG
49,64,60,9,50,20,SEDANG
60,85,64,10,54,20,SEDANG
53,77,62,9,60,19,SEDANG
60,83,61,9,72,12,SEDANG
68,100,64,12,66,26,SEDANG
77,105,76,12,49,31,TIDAK SEHAT
57,76,63,9,58,18,SEDANG
73,105,65,12,70,28,TIDAK SEHAT
82,108,64,13,64,27,TIDAK SEHAT
64,95,63,13,63,28,SEDANG
71,---,63,12,65,22,SEDANG
50,60,58,9,45,13,SEDANG
46,63,60,16,42,29,SEDANG
50,67,73,11,50,26,SEDANG
52,68,61,9,57,24,SEDANG
73,115,82,14,46,38,TIDAK SEHAT
67,95,81,10,53,28,SEDANG
62,96,60,12,62,21,SEDANG
65,100,62,12,70,27,SEDANG
63,83,67,13,50,32,SEDANG
62,86,64,10,49,21,SEDANG
51,70,67,12,49,30,SEDANG
54,74,80,14,49,26,SEDANG
64,90,81,13,56,32,SEDANG
56,79,63,12,56,28,SEDANG
58,77,49,9,35,11,SEDANG
64,100,50,12,28,27,SEDANG
54,76,50,8,32,14,SEDANG
52,72,50,9,36,11,SEDANG
42,65,51,7,36,10,SEDANG
48,67,51,6,34,11,SEDANG
44,62,50,7,28,11,SEDANG
45,63,51,7,38,11,SEDANG
55,77,51,9,40,14,SEDANG
58,79,51,10,39,12,SEDANG
47,65,51,8,37,11,SEDANG
52,71,52,9,38,15,SEDANG
61,88,51,12,32,17,SEDANG
72,107,52,14,40,19,TIDAK SEHAT
64,92,51,15,35,18,SEDANG
65,95,51,15,39,18,SEDANG
51,66,50,11,24,15,SEDANG
45,61,50,15,18,17,SEDANG
36,52,51,10,29,12,SEDANG
53,74,53,11,29,15,SEDANG
58,82,51,15,---,17,SEDANG
59,87,52,13,39,21,SEDANG
68,102,51,17,47,18,TIDAK SEHAT
62,90,51,13,38,15,SEDANG
51,71,51,13,30,15,SEDANG
45,64,52,8,33,13,SEDANG
47,60,51,14,15,18,SEDANG
37,31,52,17,13,18,SEDANG
48,31,51,12,39,18,SEDANG
45,27,---,28,39,---,BAIK
---,91,45,10,35,33,SEDANG
---,127,46,10,35,19,TIDAK SEHAT
---,96,44,9,32,19,SEDANG
---,110,44,11,33,24,TIDAK SEHAT
66,103,47,8,37,17,TIDAK SEHAT
52,77,41,7,27,23,SEDANG
58,98,45,9,30,22,SEDANG
55,83,47,7,36,21,SEDANG
61,97,42,9,43,16,SEDANG
62,100,43,10,44,26,SEDANG
70,111,47,9,32,25,TIDAK SEHAT
---,91,44,8,38,19,SEDANG
---,131,44,12,45,32,TIDAK SEHAT
100,157,41,15,50,26,TIDAK SEHAT
67,122,40,14,51,23,TIDAK SEHAT
---,126,39,13,53,27,TIDAK SEHAT
57,88,42,11,32,19,SEDANG
52,80,41,18,31,23,SEDANG
---,96,45,10,33,17,SEDANG
---,---,44,10,48,18,BAIK
71,120,45,13,36,21,TIDAK SEHAT
65,109,45,10,35,20,TIDAK SEHAT
68,113,44,15,39,23,TIDAK SEHAT
62,104,44,11,41,22,TIDAK SEHAT
75,130,45,16,36,24,TIDAK SEHAT
59,90,43,10,50,21,SEDANG
54,78,40,11,56,18,SEDANG
51,79,41,15,45,15,SEDANG
62,103,43,15,58,18,TIDAK SEHAT
---,79,---,---,---,---,SEDANG
55,84,---,8,34,12,SEDANG
67,102,---,10,31,16,TIDAK SEHAT
55,82,---,8,28,12,SEDANG
53,80,---,7,31,10,SEDANG
52,79,---,10,35,16,SEDANG
52,74,---,6,28,14,SEDANG
50,71,---,8,25,17,SEDANG
53,81,---,7,32,16,SEDANG
53,74,---,7,43,12,SEDANG
55,80,---,8,46,11,SEDANG
59,88,---,9,39,11,SEDANG
57,81,---,12,31,23,SEDANG
47,69,---,7,30,13,SEDANG
58,91,---,10,35,14,SEDANG
70,107,---,11,39,16,TIDAK SEHAT
68,112,---,14,32,17,TIDAK SEHAT
62,100,---,11,48,10,SEDANG
52,73,---,11,19,15,SEDANG
50,81,---,16,13,35,SEDANG
42,68,---,11,22,23,SEDANG
42,70,---,7,34,14,SEDANG
60,95,---,15,24,26,SEDANG
52,80,---,10,29,16,SEDANG
60,93,---,12,35,14,SEDANG
64,101,---,13,36,14,TIDAK SEHAT
58,92,---,16,29,24,SEDANG
53,76,---,11,32,17,SEDANG
51,77,---,16,29,27,SEDANG
50,70,---,18,23,33,SEDANG
50,74,---,12,30,24,SEDANG
49,74,---,10,31,13,SEDANG
58,85,32,16,22,41,SEDANG
50,63,29,14,22,35,SEDANG
49,63,33,13,21,38,SEDANG
57,83,30,17,34,47,SEDANG
56,75,31,19,18,46,SEDANG
55,72,30,13,22,40,SEDANG
38,56,27,8,23,25,SEDANG
38,55,29,18,15,32,SEDANG
55,73,32,14,17,38,SEDANG
38,55,28,10,16,25,SEDANG
41,55,48,12,13,15,SEDANG
32,49,31,10,16,9,BAIK
51,70,36,16,27,12,SEDANG
42,53,29,11,18,7,SEDANG
27,39,30,8,16,7,BAIK
31,47,31,8,11,6,BAIK
55,71,50,13,15,9,SEDANG
55,75,43,18,19,13,SEDANG
28,40,31,7,16,5,BAIK
28,44,33,7,13,6,BAIK
41,54,33,15,16,6,SEDANG
27,33,32,7,14,5,BAIK
20,30,32,7,13,5,BAIK
23,35,30,8,12,6,BAIK
39,57,34,10,11,7,SEDANG
34,56,32,12,9,7,SEDANG
30,37,30,10,8,5,BAIK
19,20,29,5,14,4,BAIK
23,28,30,7,12,5,BAIK
29,50,31,9,18,7,BAIK
64,88,77,12,48,28,SEDANG
51,70,13,14,49,34,SEDANG
52,---,14,---,41,27,SEDANG
63,95,20,13,63,42,SEDANG
64,84,26,14,46,34,SEDANG
51,73,13,11,52,26,SEDANG
39,62,7,10,55,17,SEDANG
53,73,---,14,39,26,SEDANG
61,86,---,11,47,28,SEDANG
32,59,---,9,36,21,SEDANG
37,58,28,11,36,21,SEDANG
34,54,18,9,38,19,SEDANG
---,78,---,16,52,25,SEDANG
---,59,---,13,46,19,SEDANG
---,57,---,9,36,17,SEDANG
28,53,5,8,41,14,SEDANG
60,80,21,11,45,27,SEDANG
58,81,14,10,56,24,SEDANG
32,45,5,7,42,12,BAIK
29,50,7,8,41,16,BAIK
40,58,7,15,45,18,SEDANG
25,44,8,7,41,12,BAIK
25,55,5,7,41,9,SEDANG
21,45,4,7,37,12,BAIK
39,58,7,9,40,21,SEDANG
48,68,11,11,39,31,SEDANG
34,---,7,8,45,15,BAIK
18,---,3,7,47,9,BAIK
22,---,4,8,42,12,BAIK
30,---,5,8,44,17,BAIK
50,71,51,17,27,20,SEDANG
50,63,51,16,18,18,SEDANG
40,62,51,13,37,18,SEDANG
52,74,52,16,36,19,SEDANG
52,71,52,17,22,19,SEDANG
55,75,52,13,42,20,SEDANG
44,61,51,10,24,16,SEDANG
33,52,52,17,25,16,SEDANG
67,95,51,21,---,24,SEDANG
51,62,51,8,14,11,SEDANG
47,61,51,12,12,14,SEDANG
44,61,47,10,30,12,SEDANG
43,65,47,13,40,18,SEDANG
40,56,47,11,---,11,SEDANG
29,53,47,8,---,10,SEDANG
53,82,47,11,24,11,SEDANG
47,66,49,9,28,11,SEDANG
55,71,43,9,---,18,SEDANG
20,28,41,3,28,5,BAIK
37,53,43,6,31,8,SEDANG
52,76,41,14,29,13,SEDANG
29,41,42,4,27,6,BAIK
24,30,41,3,29,4,BAIK
35,55,42,5,34,7,SEDANG
63,83,42,12,27,11,SEDANG
51,71,41,17,---,10,SEDANG
31,41,41,8,---,13,BAIK
16,25,41,4,34,6,BAIK
29,30,42,7,19,8,BAIK
46,31,43,10,35,11,BAIK
54,77,40,18,47,22,SEDANG
51,83,42,12,73,17,SEDANG
58,93,43,17,27,24,SEDANG
61,95,43,16,14,20,SEDANG
55,86,44,11,26,29,SEDANG
52,81,44,9,35,17,SEDANG
52,70,44,14,26,16,SEDANG
64,106,43,15,31,19,TIDAK SEHAT
61,100,37,11,20,19,SEDANG
45,71,37,10,13,14,SEDANG
32,63,37,7,19,14,SEDANG
52,82,38,14,30,17,SEDANG
48,68,36,13,24,14,SEDANG
36,58,36,7,16,11,SEDANG
42,68,36,10,15,14,SEDANG
60,99,39,10,19,14,SEDANG
63,106,41,9,27,18,TIDAK SEHAT
23,38,36,3,17,8,BAIK
26,58,38,6,21,13,SEDANG
44,65,37,19,13,14,SEDANG
23,45,37,4,14,9,BAIK
17,37,36,3,15,7,BAIK
27,59,37,5,26,12,SEDANG
54,80,38,11,24,18,SEDANG
58,78,38,14,17,13,SEDANG
37,56,37,8,13,12,SEDANG
18,33,37,4,18,10,BAIK
29,55,37,8,17,11,SEDANG
39,66,38,8,24,15,SEDANG
59,91,---,17,22,27,SEDANG
51,72,---,14,13,22,SEDANG
44,69,---,12,21,24,SEDANG
57,87,---,13,31,22,SEDANG
57,87,---,23,16,38,SEDANG
57,81,---,11,24,20,SEDANG
35,59,---,6,22,8,SEDANG
35,61,---,20,13,41,SEDANG
57,86,---,16,19,30,SEDANG
40,65,---,8,17,18,SEDANG
42,62,---,8,10,32,SEDANG
37,57,---,5,15,15,SEDANG
46,75,---,14,29,40,SEDANG
50,63,---,12,19,34,SEDANG
19,39,---,3,14,10,BAIK
26,49,---,3,13,10,BAIK
52,77,19,10,14,35,SEDANG
52,74,24,10,20,35,SEDANG
23,34,13,2,15,7,BAIK
28,50,17,4,16,17,BAIK
46,62,15,17,14,44,SEDANG
22,38,15,3,14,10,BAIK
15,34,15,2,13,6,BAIK
22,43,13,3,13,8,BAIK
43,67,19,6,14,16,SEDANG
32,59,16,7,15,20,SEDANG
22,36,13,7,18,22,BAIK
18,26,12,2,16,8,BAIK
15,34,13,3,13,9,BAIK
23,52,15,4,21,10,SEDANG
49,65,33,13,15,12,SEDANG
28,34,31,7,15,5,BAIK
49,31,9,19,7,49,
39,52,35,13,15,9,SEDANG
41,57,39,15,15,9,SEDANG
60,81,55,23,18,11,SEDANG
30,31,34,12,16,9,BAIK
45,60,33,17,18,10,SEDANG
33,50,36,10,21,11,BAIK
46,59,43,14,19,12,SEDANG
28,43,33,8,24,9,BAIK
44,57,32,17,15,7,SEDANG
31,46,34,10,13,6,BAIK
46,61,46,15,16,10,SEDANG
58,75,43,19,20,14,SEDANG
56,74,39,20,24,16,SEDANG
53,71,42,18,24,15,SEDANG
51,63,39,18,22,10,SEDANG
58,81,38,24,33,15,SEDANG
52,63,39,13,23,11,SEDANG
52,74,41,19,22,17,SEDANG
63,85,56,28,25,19,SEDANG
56,77,57,18,20,18,SEDANG
34,52,53,15,17,11,SEDANG
53,68,56,17,17,9,SEDANG
35,53,51,11,22,10,SEDANG
52,71,61,15,20,15,SEDANG
51,65,53,15,18,13,SEDANG
31,49,54,10,24,11,SEDANG
55,71,53,16,23,14,SEDANG
62,85,52,23,20,14,SEDANG
53,---,8,12,41,30,SEDANG
32,50,40,7,40,14,BAIK
34,55,41,9,48,17,SEDANG
40,63,43,8,43,16,SEDANG
46,65,44,14,39,24,SEDANG
61,88,51,18,45,31,SEDANG
33,58,42,11,43,19,SEDANG
49,71,31,15,51,30,SEDANG
31,52,32,8,50,20,SEDANG
33,54,34,9,41,24,SEDANG
33,50,33,8,51,22,SEDANG
49,62,40,13,42,22,SEDANG
31,53,34,9,34,23,SEDANG
51,65,43,9,35,26,SEDANG
62,86,44,11,50,30,SEDANG
58,75,35,15,57,32,SEDANG
44,64,35,13,54,24,SEDANG
65,96,40,21,78,33,SEDANG
53,67,32,11,58,20,SEDANG
55,74,40,15,---,33,SEDANG
65,94,36,21,54,49,SEDANG
70,99,46,19,42,42,SEDANG
36,56,35,15,36,27,SEDANG
53,70,38,19,35,30,SEDANG
41,55,38,15,37,24,SEDANG
50,66,35,14,40,24,SEDANG
53,68,38,16,34,33,SEDANG
28,---,32,12,37,29,BAIK
47,64,38,13,38,35,SEDANG
61,85,33,23,37,44,SEDANG
53,70,43,12,32,15,SEDANG
35,55,42,7,29,9,SEDANG
54,67,43,9,32,11,SEDANG
50,65,45,10,26,13,SEDANG
51,66,43,15,27,12,SEDANG
62,91,47,17,42,18,SEDANG
20,28,44,7,32,10,BAIK
39,62,45,17,45,13,SEDANG
46,60,46,11,51,16,SEDANG
51,65,47,12,---,15,SEDANG
38,55,45,8,47,12,SEDANG
48,63,43,13,---,13,SEDANG
53,68,44,11,23,10,SEDANG
40,---,44,7,37,11,BAIK
54,80,43,16,---,16,SEDANG
47,68,43,11,---,15,SEDANG
39,59,43,13,---,16,SEDANG
35,58,35,10,33,12,SEDANG
57,90,34,20,48,23,SEDANG
54,74,34,13,43,15,SEDANG
49,72,34,14,39,18,SEDANG
56,82,34,21,44,24,SEDANG
56,78,34,12,44,17,SEDANG
33,53,34,9,31,10,SEDANG
54,77,33,18,31,13,SEDANG
39,59,33,14,36,12,SEDANG
75,116,35,23,38,21,TIDAK SEHAT
51,74,---,13,17,18,SEDANG
47,54,21,12,20,9,SEDANG
60,53,21,15,19,13,SEDANG
64,52,21,44,17,---,SEDANG
63,100,39,12,19,23,SEDANG
33,56,38,5,18,13,SEDANG
41,71,39,7,23,15,SEDANG
42,62,39,8,14,15,SEDANG
53,80,39,17,13,15,SEDANG
52,83,41,20,23,19,SEDANG
179,58,39,9,17,15,TIDAK SEHAT
47,76,40,14,25,14,SEDANG
38,63,40,9,28,19,SEDANG
45,73,42,10,24,19,SEDANG
32,60,39,7,22,17,SEDANG
50,76,40,7,28,14,SEDANG
69,124,40,15,29,23,TIDAK SEHAT
78,136,41,14,32,18,TIDAK SEHAT
55,81,39,13,34,17,SEDANG
---,69,42,13,24,17,SEDANG
64,102,41,21,40,22,TIDAK SEHAT
57,86,42,10,30,16,SEDANG
62,---,42,17,13,27,SEDANG
62,98,27,22,---,34,SEDANG
62,99,26,13,---,26,SEDANG
34,65,---,---,---,---,SEDANG
56,85,15,23,---,---,SEDANG
44,71,13,14,---,8,SEDANG
68,121,17,21,---,12,TIDAK SEHAT
59,89,38,15,---,22,SEDANG
61,98,37,15,---,19,SEDANG
60,102,38,17,---,21,TIDAK SEHAT
58,90,36,21,---,22,SEDANG
50,71,18,8,19,18,SEDANG
22,42,14,2,19,5,BAIK
30,54,16,3,18,9,SEDANG
34,54,27,5,14,15,SEDANG
51,71,30,12,12,29,SEDANG
61,85,36,23,18,57,SEDANG
25,44,22,5,15,21,BAIK
44,66,17,13,23,30,SEDANG
30,50,20,5,31,15,BAIK
48,63,32,8,28,30,SEDANG
32,54,21,5,31,15,SEDANG
39,60,16,13,20,34,SEDANG
22,45,20,3,16,14,BAIK
36,56,33,3,21,21,SEDANG
51,67,32,5,31,28,SEDANG
56,82,23,11,34,36,SEDANG
52,73,26,8,28,35,SEDANG
45,63,18,8,22,32,SEDANG
54,84,19,18,35,45,SEDANG
48,65,20,6,22,16,SEDANG
47,73,20,15,31,49,SEDANG
62,90,19,24,29,65,SEDANG
59,88,24,16,23,44,SEDANG
32,59,25,9,19,52,SEDANG
55,81,34,17,15,62,SEDANG
32,57,27,9,20,34,SEDANG
54,76,36,14,21,47,SEDANG
44,68,20,11,21,33,SEDANG
34,54,28,8,25,29,SEDANG
53,75,25,15,23,44,SEDANG
60,87,28,19,30,53,SEDANG
